,ST,CB,PB,GO,CA
1,0,0,0,0,100
2,0,0,0,20,80
3,0,0,0,40,60
4,0,0,0,60,40
5,0,0,0,80,20
6,0,0,0,100,0
7,0,0,20,0,80
8,0,0,20,20,60
9,0,0,20,40,40
10,0,0,20,60,20
11,0,0,20,80,0
12,0,0,40,0,60
13,0,0,40,20,40
14,0,0,40,40,20
15,0,0,40,60,0
16,0,0,60,0,40
17,0,0,60,20,20
18,0,0,60,40,0
19,0,0,80,0,20
20,0,0,80,20,0
21,0,0,100,0,0
22,0,20,0,0,80
23,0,20,0,20,60
24,0,20,0,40,40
25,0,20,0,60,20
26,0,20,0,80,0
27,0,20,20,0,60
28,0,20,20,20,40
29,0,20,20,40,20
30,0,20,20,60,0
31,0,20,40,0,40
32,0,20,40,20,20
33,0,20,40,40,0
34,0,20,60,0,20
35,0,20,60,20,0
36,0,20,80,0,0
37,0,40,0,0,60
38,0,40,0,20,40
39,0,40,0,40,20
40,0,40,0,60,0
41,0,40,20,0,40
42,0,40,20,20,20
43,0,40,20,40,0
44,0,40,40,0,20
45,0,40,40,20,0
46,0,40,60,0,0
47,0,60,0,0,40
48,0,60,0,20,20
49,0,60,0,40,0
50,0,60,20,0,20
51,0,60,20,20,0
52,0,60,40,0,0
53,0,80,0,0,20
54,0,80,0,20,0
55,0,80,20,0,0
56,0,100,0,0,0
57,20,0,0,0,80
58,20,0,0,20,60
59,20,0,0,40,40
60,20,0,0,60,20
61,20,0,0,80,0
62,20,0,20,0,60
63,20,0,20,20,40
64,20,0,20,40,20
65,20,0,20,60,0
66,20,0,40,0,40
67,20,0,40,20,20
68,20,0,40,40,0
69,20,0,60,0,20
70,20,0,60,20,0
71,20,0,80,0,0
72,20,20,0,0,60
73,20,20,0,20,40
74,20,20,0,40,20
75,20,20,0,60,0
76,20,20,20,0,40
77,20,20,20,20,20
78,20,20,20,40,0
79,20,20,40,0,20
80,20,20,40,20,0
81,20,20,60,0,0
82,20,40,0,0,40
83,20,40,0,20,20
84,20,40,0,40,0
85,20,40,20,0,20
86,20,40,20,20,0
87,20,40,40,0,0
88,20,60,0,0,20
89,20,60,0,20,0
90,20,60,20,0,0
91,20,80,0,0,0
92,40,0,0,0,60
93,40,0,0,20,40
94,40,0,0,40,20
95,40,0,0,60,0
96,40,0,20,0,40
97,40,0,20,20,20
98,40,0,20,40,0
99,40,0,40,0,20
100,40,0,40,20,0
101,40,0,60,0,0
102,40,20,0,0,40
103,40,20,0,20,20
104,40,20,0,40,0
105,40,20,20,0,20
106,40,20,20,20,0
107,40,20,40,0,0
108,40,40,0,0,20
109,40,40,0,20,0
110,40,40,20,0,0
111,40,60,0,0,0
112,60,0,0,0,40
113,60,0,0,20,20
114,60,0,0,40,0
115,60,0,20,0,20
116,60,0,20,20,0
117,60,0,40,0,0
118,60,20,0,0,20
119,60,20,0,20,0
120,60,20,20,0,0
121,60,40,0,0,0
122,80,0,0,0,20
123,80,0,0,20,0
124,80,0,20,0,0
125,80,20,0,0,0
126,100,0,0,0,0
