,ST,CB,PB,GO,CA
0,0,0,0,0,100
1,0,0,0,20,80
2,0,0,0,40,60
3,0,0,0,60,40
4,0,0,0,80,20
5,0,0,0,100,0
6,0,0,20,0,80
7,0,0,20,20,60
8,0,0,20,40,40
9,0,0,20,60,20
10,0,0,20,80,0
11,0,0,40,0,60
12,0,0,40,20,40
13,0,0,40,40,20
14,0,0,40,60,0
15,0,0,60,0,40
16,0,0,60,20,20
17,0,0,60,40,0
18,0,0,80,0,20
19,0,0,80,20,0
20,0,0,100,0,0
21,0,20,0,0,80
22,0,20,0,20,60
23,0,20,0,40,40
24,0,20,0,60,20
25,0,20,0,80,0
26,0,20,20,0,60
27,0,20,20,20,40
28,0,20,20,40,20
29,0,20,20,60,0
30,0,20,40,0,40
31,0,20,40,20,20
32,0,20,40,40,0
33,0,20,60,0,20
34,0,20,60,20,0
35,0,20,80,0,0
36,0,40,0,0,60
37,0,40,0,20,40
38,0,40,0,40,20
39,0,40,0,60,0
40,0,40,20,0,40
41,0,40,20,20,20
42,0,40,20,40,0
43,0,40,40,0,20
44,0,40,40,20,0
45,0,40,60,0,0
46,0,60,0,0,40
47,0,60,0,20,20
48,0,60,0,40,0
49,0,60,20,0,20
50,0,60,20,20,0
51,0,60,40,0,0
52,0,80,0,0,20
53,0,80,0,20,0
54,0,80,20,0,0
55,0,100,0,0,0
56,20,0,0,0,80
57,20,0,0,20,60
58,20,0,0,40,40
59,20,0,0,60,20
60,20,0,0,80,0
61,20,0,20,0,60
62,20,0,20,20,40
63,20,0,20,40,20
64,20,0,20,60,0
65,20,0,40,0,40
66,20,0,40,20,20
67,20,0,40,40,0
68,20,0,60,0,20
69,20,0,60,20,0
70,20,0,80,0,0
71,20,20,0,0,60
72,20,20,0,20,40
73,20,20,0,40,20
74,20,20,0,60,0
75,20,20,20,0,40
76,20,20,20,20,20
77,20,20,20,40,0
78,20,20,40,0,20
79,20,20,40,20,0
80,20,20,60,0,0
81,20,40,0,0,40
82,20,40,0,20,20
83,20,40,0,40,0
84,20,40,20,0,20
85,20,40,20,20,0
86,20,40,40,0,0
87,20,60,0,0,20
88,20,60,0,20,0
89,20,60,20,0,0
90,20,80,0,0,0
91,40,0,0,0,60
92,40,0,0,20,40
93,40,0,0,40,20
94,40,0,0,60,0
95,40,0,20,0,40
96,40,0,20,20,20
97,40,0,20,40,0
98,40,0,40,0,20
99,40,0,40,20,0
100,40,0,60,0,0
101,40,20,0,0,40
102,40,20,0,20,20
103,40,20,0,40,0
104,40,20,20,0,20
105,40,20,20,20,0
106,40,20,40,0,0
107,40,40,0,0,20
108,40,40,0,20,0
109,40,40,20,0,0
110,40,60,0,0,0
111,60,0,0,0,40
112,60,0,0,20,20
113,60,0,0,40,0
114,60,0,20,0,20
115,60,0,20,20,0
116,60,0,40,0,0
117,60,20,0,0,20
118,60,20,0,20,0
119,60,20,20,0,0
120,60,40,0,0,0
121,80,0,0,0,20
122,80,0,0,20,0
123,80,0,20,0,0
124,80,20,0,0,0
125,100,0,0,0,0
